run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,success,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,0,has_close_elements,1,0.5,0.0,0.5,2.948,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,1,separate_paren_groups,0,0.5,0.0,0.5,3.296,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,2,truncate_number,1,0.0,1.0,-1.0,1.778,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,3,below_zero,1,0.5,0.0,0.5,2.302,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,4,mean_absolute_deviation,1,0.5,0.0,0.5,2.329,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,5,intersperse,1,0.5,0.0,0.5,2.958,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,6,parse_nested_parens,0,0.5,0.0,0.5,3.347,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,7,filter_by_substring,1,0.5,0.0,0.5,2.171,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,8,sum_product,1,0.5,0.0,0.5,2.727,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,9,rolling_max,1,0.2,0.0,0.2,2.768,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,10,make_palindrome,1,0.5,0.0,0.5,3.617,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,11,string_xor,1,0.5,0.0,0.5,2.207,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,12,longest,0,0.5,0.0,0.5,2.028,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,13,greatest_common_divisor,1,0.25,0.0,0.25,2.343,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,14,all_prefixes,1,0.2,0.0,0.2,2.209,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,15,string_sequence,1,0.5,0.0,0.5,1.868,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,16,count_distinct_characters,1,0.5,0.0,0.5,1.908,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,17,parse_music,0,0.2,0.0,0.2,3.131,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,18,how_many_times,1,0.5,0.0,0.5,2.752,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,19,sort_numbers,1,0.5,0.0,0.5,3.475,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,20,find_closest_elements,1,0.5,0.0,0.5,4.022,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,21,rescale_to_unit,1,0.25,0.0,0.25,2.658,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,22,filter_integers,1,0.5,0.0,0.5,2.163,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,23,strlen,1,0.0,0.0,0.0,1.582,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,24,largest_divisor,0,0.5,0.0,0.5,2.273,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,25,factorize,1,0.5,0.0,0.5,2.689,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,26,remove_duplicates,0,0.2,0.0,0.2,2.306,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,27,flip_case,1,0.5,0.0,0.5,1.517,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,28,concatenate,1,0.5,0.0,0.5,1.704,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,29,filter_by_prefix,1,0.5,0.0,0.5,2.223,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,30,get_positive,1,0.5,0.0,0.5,1.842,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,31,is_prime,1,0.5,0.0,0.5,2.265,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,32,find_zero,0,0.5,0.0,0.5,3.413,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,33,sort_third,0,0.5,0.0,0.5,1.909,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,34,unique,1,0.2,0.0,0.2,1.662,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,35,max_element,1,0.5,0.0,0.5,1.557,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,36,fizz_buzz,0,0.0,0.0,0.0,2.283,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,37,sort_even,0,0.5,0.0,0.5,2.15,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,38,decode_cyclic,0,0.5,0.0,0.5,4.208,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,39,prime_fib,0,0.5,0.0,0.5,2.385,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,40,triples_sum_to_zero,0,0.5,0.0,0.5,2.733,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,41,car_race_collision,0,0.5,0.0,0.5,1.853,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,42,incr_list,1,0.5,0.0,0.5,1.807,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,43,pairs_sum_to_zero,1,0.5,0.0,0.5,2.27,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,44,change_base,1,0.2,0.0,0.2,2.521,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,45,triangle_area,1,0.0,1.0,-1.0,1.806,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,46,fib4,0,0.5,0.0,0.5,3.376,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,47,median,1,0.5,0.0,0.5,2.621,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,48,is_palindrome,1,0.5,1.0,-0.5,1.828,0,0
20260308_194110,mon-t0.0-th0.5,with_monitoring,0.0,0.5,49,modp,0,0.0,0.0,0.0,1.438,0,0
