run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,success,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,0,has_close_elements,1,,0.6,0.0,3.431,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,1,separate_paren_groups,0,,0.8,0.0,4.101,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,2,truncate_number,1,,0.5,0.0,2.297,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,3,below_zero,1,,0.6,0.0,3.319,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,4,mean_absolute_deviation,1,,0.8,0.0,2.775,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,5,intersperse,1,,0.6,0.0,3.805,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,6,parse_nested_parens,0,,0.8,0.0,5.161,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,7,filter_by_substring,1,,0.6,0.0,3.059,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,8,sum_product,1,,0.5,0.0,2.96,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,9,rolling_max,1,,0.5,0.0,3.268,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,10,make_palindrome,0,,0.8,0.0,3.855,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,11,string_xor,1,,0.6,0.0,2.57,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,12,longest,0,,0.7,0.0,2.273,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,13,greatest_common_divisor,1,,0.5,0.0,2.693,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,14,all_prefixes,1,,0.8,0.0,3.089,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,15,string_sequence,1,,0.5,0.0,2.521,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,16,count_distinct_characters,1,,0.2,0.0,2.228,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,17,parse_music,0,,0.5,0.0,3.017,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,18,how_many_times,1,,0.6,0.0,4.089,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,19,sort_numbers,0,,0.8,0.0,4.132,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,20,find_closest_elements,1,,0.8,0.0,4.185,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,21,rescale_to_unit,1,,0.6,0.0,3.051,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,22,filter_integers,1,,0.5,0.0,2.538,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,23,strlen,1,,0.5,0.0,2.131,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,24,largest_divisor,0,,0.6,0.0,2.724,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,25,factorize,1,,0.6,0.0,4.887,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,26,remove_duplicates,0,,0.8,0.0,2.937,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,27,flip_case,1,,0.2,0.0,2.649,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,28,concatenate,1,,0.6,0.0,2.585,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,29,filter_by_prefix,1,,0.6,0.0,3.0,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,30,get_positive,1,,0.5,0.0,2.2,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,31,is_prime,1,,0.0,0.0,2.874,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,32,find_zero,0,,0.8,0.0,2.884,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,33,sort_third,0,,0.8,0.0,3.621,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,34,unique,1,,0.6,0.0,2.178,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,35,max_element,1,,0.5,0.0,2.103,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,36,fizz_buzz,0,,0.8,0.0,2.829,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,37,sort_even,0,,0.7,0.0,2.383,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,38,decode_cyclic,0,,0.8,0.0,5.002,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,39,prime_fib,0,,0.8,0.0,4.392,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,40,triples_sum_to_zero,0,,0.8,0.0,3.105,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,41,car_race_collision,0,,0.5,0.0,2.577,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,42,incr_list,1,,0.5,0.0,2.196,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,43,pairs_sum_to_zero,0,,0.8,0.0,3.249,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,44,change_base,1,,0.6,0.0,3.497,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,45,triangle_area,1,,0.5,0.0,2.519,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,46,fib4,0,,0.8,0.0,4.968,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,47,median,1,,0.5,0.0,2.959,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,48,is_palindrome,1,,0.5,0.0,2.582,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,49,modp,0,,0.6,0.0,3.361,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,50,decode_shift,0,,0.8,0.0,2.811,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,51,remove_vowels,1,,0.5,0.0,2.715,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,52,below_threshold,1,,0.5,0.0,2.581,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,53,add,1,,0.2,0.0,2.367,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,54,same_chars,1,,0.5,0.0,2.378,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,55,fib,1,,0.2,0.0,3.081,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,56,correct_bracketing,0,,0.5,0.0,2.784,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,57,monotonic,1,,0.6,0.0,2.964,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,58,common,1,,0.6,0.0,2.691,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,59,largest_prime_factor,1,,0.6,0.0,4.831,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,60,sum_to_n,1,,0.5,0.0,2.311,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,61,correct_bracketing,0,,0.5,0.0,2.834,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,62,derivative,1,,0.8,0.0,2.729,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,63,fibfib,1,,0.8,0.0,3.65,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,64,vowels_count,0,,0.5,0.0,3.291,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,65,circular_shift,0,,0.6,0.0,2.852,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,66,digitSum,1,,0.6,0.0,2.68,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,67,fruit_distribution,0,,0.8,0.0,3.34,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,68,pluck,0,,0.8,0.0,4.393,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,69,search,0,,0.7,0.0,3.414,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,70,strange_sort_list,0,,0.8,0.0,4.148,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,71,triangle_area,0,,0.6,0.0,3.557,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,72,will_it_fly,1,,0.8,0.0,2.786,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,73,smallest_change,1,,0.8,0.0,3.465,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,74,total_match,1,,0.8,0.0,3.421,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,75,is_multiply_prime,0,,0.7,0.0,4.187,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,76,is_simple_power,0,,0.8,0.0,3.178,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,77,iscube,0,,0.7,0.0,2.03,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,78,hex_key,0,,0.7,0.0,4.853,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,79,decimal_to_binary,1,,0.8,0.0,2.388,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,80,is_happy,0,,0.5,0.0,3.381,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,81,numerical_letter_grade,0,,0.6,0.0,15.983,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,82,prime_length,1,,0.5,0.0,3.957,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,83,starts_one_ends,0,,0.8,0.0,3.227,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,84,solve,0,,0.5,0.0,2.321,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,85,add,1,,0.6,0.0,2.943,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,86,anti_shuffle,0,,0.6,0.0,2.938,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,87,get_row,0,,0.6,0.0,3.472,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,88,sort_array,0,,0.8,0.0,3.982,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,89,encrypt,0,,0.6,0.0,2.731,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,90,next_smallest,1,,0.6,0.0,2.837,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,91,is_bored,0,,0.7,0.0,3.116,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,92,any_int,0,,0.8,0.0,2.933,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,93,encode,0,,0.6,0.0,3.798,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,94,skjkasdkd,1,,0.8,0.0,4.559,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,95,check_dict_case,0,,0.6,0.0,3.111,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,96,count_up_to,1,,0.8,0.0,3.607,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,97,multiply,0,,0.6,0.0,2.913,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,98,count_upper,1,,0.6,0.0,2.865,0,0,0
20260403_232051,phase3-baseline-t0.7-r1,baseline,0.7,0.6,99,closest_integer,0,,0.6,0.0,8.345,0,0,0
