run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,0,has_close_elements,0,0,,0.8,0.0,17.321,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,1,separate_paren_groups,0,0,,0.8,0.0,6.043,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,2,truncate_number,1,1,,0.8,0.0,2.676,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,3,below_zero,1,1,,0.6,0.0,3.989,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,4,mean_absolute_deviation,0,0,,0.6,0.0,4.089,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,5,intersperse,0,0,,0.8,0.0,4.483,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,6,parse_nested_parens,0,0,,0.8,0.0,5.072,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,7,filter_by_substring,0,0,,0.6,0.0,4.102,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,8,sum_product,1,1,,0.5,0.0,4.246,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,9,rolling_max,1,1,,0.6,0.0,4.535,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,10,make_palindrome,0,0,,0.8,0.0,6.408,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,11,string_xor,0,0,,0.8,0.0,5.317,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,12,longest,1,1,,0.6,0.0,3.256,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,13,greatest_common_divisor,0,0,,0.0,0.0,3.294,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,14,all_prefixes,0,0,,0.6,0.0,4.326,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,15,string_sequence,0,0,,0.5,0.0,3.801,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,16,count_distinct_characters,1,1,,0.5,0.0,2.991,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,17,parse_music,0,0,,0.5,0.0,5.124,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,18,how_many_times,0,0,,0.6,0.0,4.664,0,0,0,0
20260423_150429,phase4_codellama_baseline,baseline,0.0,0.6,19,sort_numbers,0,0,,0.6,0.0,3.364,0,0,0,0
