run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,0,has_close_elements,1,1,0.9,0.6,0.3,8.227,1,1,0,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,1,separate_paren_groups,0,1,0.9,0.2,0.7,13.433,1,1,0,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,2,truncate_number,1,1,0.8,0.7,0.1,10.091,1,1,0,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,3,below_zero,1,1,0.9,0.0,0.9,7.71,1,1,0,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,4,mean_absolute_deviation,1,1,0.9,0.0,0.9,6.0,1,1,0,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,5,intersperse,0,0,0.9,0.6,0.3,12.662,1,1,0,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,6,parse_nested_parens,1,1,0.9,0.0,0.9,10.989,1,1,0,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,7,filter_by_substring,1,1,0.9,0.0,0.9,7.315,1,1,0,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,8,sum_product,1,1,0.0,0.0,0.0,1.997,0,0,0,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,9,rolling_max,1,1,0.7,0.7,0.0,13.324,1,0,1,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,10,make_palindrome,0,0,0.9,0.7,0.2,16.09,1,1,0,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,11,string_xor,1,1,0.9,0.0,0.9,8.951,1,1,0,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,12,longest,1,1,0.7,0.0,0.7,11.067,1,1,0,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,13,greatest_common_divisor,0,0,0.9,0.9,0.0,4.136,1,0,1,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,14,all_prefixes,1,1,0.9,0.0,0.9,6.53,1,1,0,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,15,string_sequence,1,1,0.9,0.6,0.3,7.521,1,1,0,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,16,count_distinct_characters,1,1,0.0,0.0,0.0,1.952,0,0,0,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,17,parse_music,0,0,0.7,0.7,0.0,20.933,1,0,1,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,18,how_many_times,1,1,0.9,0.7,0.2,11.34,1,1,0,1
20260423_213141,phase4_codellama_iterative,with_monitoring,0.0,0.6,19,sort_numbers,0,0,0.7,0.7,0.0,11.353,1,0,1,1
