run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache
20260505_141729,llama31_trial2,baseline,0.0,0.6,0,has_close_elements,1,1,,0.6,0.0,6.07,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,1,separate_paren_groups,1,1,,0.0,0.0,6.963,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,2,truncate_number,1,1,,0.6,0.0,4.239,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,3,below_zero,1,1,,0.9,0.0,4.823,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,4,mean_absolute_deviation,1,1,,0.6,0.0,5.086,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,5,intersperse,1,1,,0.6,0.0,5.559,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,6,parse_nested_parens,1,1,,0.6,0.0,7.824,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,7,filter_by_substring,1,1,,0.9,0.0,4.897,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,8,sum_product,1,1,,0.0,0.0,5.463,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,9,rolling_max,1,1,,0.9,0.0,5.418,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,10,make_palindrome,0,0,,0.7,0.0,7.652,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,11,string_xor,1,1,,0.7,0.0,6.084,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,12,longest,1,1,,0.7,0.0,5.438,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,13,greatest_common_divisor,1,1,,0.0,0.0,4.05,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,14,all_prefixes,1,1,,0.9,0.0,5.499,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,15,string_sequence,1,1,,0.6,0.0,4.168,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,16,count_distinct_characters,1,1,,0.0,0.0,3.218,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,17,parse_music,1,1,,0.6,0.0,6.746,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,18,how_many_times,1,1,,0.6,0.0,5.346,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,19,sort_numbers,1,1,,0.7,0.0,9.509,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,20,find_closest_elements,1,1,,0.7,0.0,7.335,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,21,rescale_to_unit,1,1,,0.0,0.0,5.766,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,22,filter_integers,1,1,,0.7,0.0,5.519,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,23,strlen,1,1,,0.0,0.0,2.945,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,24,largest_divisor,1,1,,0.6,0.0,5.057,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,25,factorize,1,1,,0.7,0.0,10.765,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,26,remove_duplicates,0,0,,0.0,0.0,4.618,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,27,flip_case,1,1,,0.0,0.0,4.906,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,28,concatenate,1,1,,0.7,0.0,4.189,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,29,filter_by_prefix,1,1,,0.9,0.0,4.857,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,30,get_positive,1,1,,0.0,0.0,3.403,0,0,0,0
20260505_141729,llama31_trial2,baseline,0.0,0.6,31,is_prime,1,1,,0.0,0.0,4.567,0,0,0,0
