run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,0,has_close_elements,1,1,0.6,0.6,0.0,4.08,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,1,separate_paren_groups,1,1,0.0,0.0,0.0,2.162,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,2,truncate_number,1,1,0.6,0.6,0.0,3.999,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,3,below_zero,1,1,0.0,0.0,0.0,1.974,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,4,mean_absolute_deviation,1,1,0.0,0.0,0.0,2.303,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,5,intersperse,1,1,0.6,0.6,0.0,3.39,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,6,parse_nested_parens,1,1,0.9,0.6,0.3,11.641,1,1,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,7,filter_by_substring,1,1,0.0,0.0,0.0,1.821,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,8,sum_product,1,1,0.0,0.0,0.0,2.045,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,9,rolling_max,1,1,0.0,0.0,0.0,1.93,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,10,make_palindrome,0,0,0.7,0.7,0.0,13.844,1,0,1,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,11,string_xor,1,1,0.0,0.0,0.0,2.077,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,12,longest,1,1,0.6,0.6,0.0,3.009,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,13,greatest_common_divisor,1,1,0.0,0.0,0.0,1.929,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,14,all_prefixes,1,1,0.6,0.6,0.0,4.693,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,15,string_sequence,1,1,0.7,0.6,0.1,8.421,1,1,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,16,count_distinct_characters,1,1,0.0,0.0,0.0,1.827,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,17,parse_music,1,1,0.6,0.6,0.0,3.413,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,18,how_many_times,1,1,0.6,0.6,0.0,2.264,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,19,sort_numbers,1,1,0.9,0.9,0.0,11.846,1,0,1,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,20,find_closest_elements,1,1,0.6,0.6,0.0,3.286,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,21,rescale_to_unit,1,1,0.0,0.0,0.0,1.927,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,22,filter_integers,1,1,0.0,0.0,0.0,1.831,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,23,strlen,1,1,0.0,0.0,0.0,1.919,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,24,largest_divisor,1,1,0.6,0.6,0.0,4.097,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,25,factorize,1,1,0.6,0.6,0.0,4.819,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,26,remove_duplicates,0,0,0.0,0.0,0.0,1.962,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,27,flip_case,1,1,0.0,0.0,0.0,1.834,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,28,concatenate,1,1,0.0,0.0,0.0,1.815,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,29,filter_by_prefix,1,1,0.0,0.0,0.0,1.814,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,30,get_positive,1,1,0.0,0.0,0.0,1.814,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,31,is_prime,1,1,0.0,0.0,0.0,2.046,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,32,find_zero,0,0,0.9,0.6,0.3,24.518,1,1,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,33,sort_third,1,1,0.7,0.2,0.5,13.075,1,1,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,34,unique,1,1,0.6,0.6,0.0,2.955,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,35,max_element,1,1,0.0,0.0,0.0,1.81,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,36,fizz_buzz,1,1,0.9,0.9,0.0,13.445,1,0,1,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,37,sort_even,1,1,0.7,0.7,0.0,14.473,1,0,1,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,38,decode_cyclic,0,0,0.6,0.6,0.0,4.826,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,39,prime_fib,1,1,0.0,0.0,0.0,2.531,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,40,triples_sum_to_zero,1,1,0.6,0.6,0.0,5.11,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,41,car_race_collision,0,0,0.9,0.8,0.1,17.515,1,1,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,42,incr_list,1,1,0.0,0.0,0.0,1.819,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,43,pairs_sum_to_zero,1,1,0.0,0.0,0.0,1.915,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,44,change_base,1,1,0.0,0.0,0.0,1.927,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,45,triangle_area,1,1,0.0,0.0,0.0,1.804,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,46,fib4,1,1,0.7,0.7,0.0,14.87,1,0,1,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,47,median,1,1,0.7,0.0,0.7,9.681,1,1,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,48,is_palindrome,1,1,0.2,0.2,0.0,1.807,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,49,modp,1,1,0.6,0.6,0.0,4.918,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,50,decode_shift,0,0,0.7,0.7,0.0,13.066,1,0,1,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,51,remove_vowels,1,1,0.0,0.0,0.0,1.922,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,52,below_threshold,1,1,0.0,0.0,0.0,1.921,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,53,add,1,1,0.0,0.0,0.0,1.836,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,54,same_chars,1,1,0.0,0.0,0.0,1.812,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,55,fib,1,1,0.0,0.0,0.0,1.927,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,56,correct_bracketing,1,1,0.0,0.0,0.0,2.047,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,57,monotonic,1,1,0.6,0.6,0.0,2.939,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,58,common,1,1,0.6,0.6,0.0,3.278,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,59,largest_prime_factor,1,1,0.6,0.6,0.0,3.643,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,60,sum_to_n,1,1,0.0,0.0,0.0,1.806,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,61,correct_bracketing,1,1,0.0,0.0,0.0,2.042,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,62,derivative,0,0,0.9,0.8,0.1,10.378,1,1,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,63,fibfib,1,1,0.8,0.8,0.0,18.098,1,0,1,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,64,vowels_count,1,1,0.0,0.0,0.0,2.622,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,65,circular_shift,0,0,0.0,0.0,0.0,1.925,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,66,digitSum,0,0,0.7,0.0,0.7,6.072,1,1,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,67,fruit_distribution,1,1,0.6,0.6,0.0,3.334,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,68,pluck,1,1,0.6,0.6,0.0,3.089,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,69,search,1,1,0.6,0.6,0.0,2.812,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,70,strange_sort_list,1,1,0.6,0.6,0.0,3.783,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,71,triangle_area,1,1,0.7,0.0,0.7,11.284,1,1,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,72,will_it_fly,1,1,0.7,0.7,0.0,10.54,1,0,1,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,73,smallest_change,1,1,0.7,0.7,0.0,20.597,1,0,1,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,74,total_match,1,1,0.7,0.7,0.0,13.398,1,0,1,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,75,is_multiply_prime,1,1,0.6,0.6,0.0,5.655,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,76,is_simple_power,1,1,0.8,0.7,0.1,10.771,1,1,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,77,iscube,1,1,0.7,0.7,0.0,11.809,1,0,1,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,78,hex_key,1,1,0.6,0.6,0.0,3.217,0,0,0,1
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,79,decimal_to_binary,0,0,0.7,0.0,0.7,7.937,1,1,0,1
