run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache
20260508_001149,llama31_tau75,baseline,0.0,0.75,0,has_close_elements,1,1,,0.6,0.0,2.687,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,1,separate_paren_groups,1,1,,0.0,0.0,1.794,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,2,truncate_number,1,1,,0.6,0.0,2.681,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,3,below_zero,1,1,,0.9,0.0,2.038,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,4,mean_absolute_deviation,1,1,,0.6,0.0,2.247,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,5,intersperse,1,1,,0.6,0.0,2.379,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,6,parse_nested_parens,1,1,,0.6,0.0,2.442,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,7,filter_by_substring,1,1,,0.9,0.0,2.753,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,8,sum_product,1,1,,0.0,0.0,1.654,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,9,rolling_max,1,1,,0.9,0.0,2.406,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,10,make_palindrome,0,0,,0.7,0.0,3.511,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,11,string_xor,1,1,,0.7,0.0,3.879,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,12,longest,1,1,,0.7,0.0,2.486,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,13,greatest_common_divisor,1,1,,0.0,0.0,1.532,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,14,all_prefixes,1,1,,0.9,0.0,3.215,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,15,string_sequence,1,1,,0.6,0.0,2.283,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,16,count_distinct_characters,1,1,,0.0,0.0,1.486,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,17,parse_music,1,1,,0.6,0.0,2.369,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,18,how_many_times,1,1,,0.6,0.0,2.004,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,19,sort_numbers,1,1,,0.7,0.0,4.445,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,20,find_closest_elements,1,1,,0.7,0.0,2.425,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,21,rescale_to_unit,1,1,,0.0,0.0,1.647,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,22,filter_integers,1,1,,0.7,0.0,3.443,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,23,strlen,1,1,,0.0,0.0,1.409,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,24,largest_divisor,1,1,,0.6,0.0,2.566,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,25,factorize,1,1,,0.7,0.0,2.813,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,26,remove_duplicates,0,0,,0.0,0.0,1.522,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,27,flip_case,1,1,,0.0,0.0,1.447,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,28,concatenate,1,1,,0.7,0.0,2.236,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,29,filter_by_prefix,1,1,,0.9,0.0,2.737,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,30,get_positive,1,1,,0.0,0.0,1.488,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,31,is_prime,1,1,,0.0,0.0,1.558,0,0,0,1
20260508_001149,llama31_tau75,baseline,0.0,0.75,32,find_zero,0,0,,0.7,0.0,3.186,0,0,0,1
