run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,0,has_close_elements,1,1,0.6,0.6,0.0,4.414,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,1,separate_paren_groups,1,1,0.0,0.0,0.0,2.384,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,2,truncate_number,1,1,0.6,0.6,0.0,4.62,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,3,below_zero,1,1,0.9,0.0,0.9,8.009,1,1,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,4,mean_absolute_deviation,1,1,0.6,0.6,0.0,3.71,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,5,intersperse,1,1,0.6,0.6,0.0,3.897,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,6,parse_nested_parens,1,1,0.6,0.0,0.6,3.103,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,7,filter_by_substring,1,1,0.9,0.0,0.9,8.17,1,1,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,8,sum_product,1,1,0.0,0.0,0.0,2.246,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,9,rolling_max,1,1,0.9,0.7,0.2,12.39,1,1,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,10,make_palindrome,0,0,0.7,0.7,0.0,5.02,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,11,string_xor,1,1,0.7,0.7,0.0,7.028,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,12,longest,1,1,0.7,0.7,0.0,4.074,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,13,greatest_common_divisor,1,1,0.0,0.0,0.0,2.118,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,14,all_prefixes,1,1,0.9,0.9,0.0,14.843,1,0,1,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,15,string_sequence,1,1,0.6,0.6,0.0,3.74,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,16,count_distinct_characters,1,1,0.0,0.0,0.0,2.082,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,17,parse_music,1,1,0.6,0.6,0.0,3.619,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,18,how_many_times,1,1,0.6,0.6,0.0,3.004,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,19,sort_numbers,1,1,0.7,0.7,0.0,7.559,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,20,find_closest_elements,1,1,0.7,0.7,0.0,3.783,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,21,rescale_to_unit,1,1,0.0,0.0,0.0,2.226,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,22,filter_integers,1,1,0.7,0.7,0.0,6.078,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,23,strlen,1,1,0.0,0.0,0.0,1.998,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,24,largest_divisor,1,1,0.6,0.6,0.0,4.181,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,25,factorize,1,1,0.7,0.7,0.0,4.213,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,26,remove_duplicates,0,0,0.0,0.0,0.0,2.126,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,27,flip_case,1,1,0.0,0.0,0.0,2.026,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,28,concatenate,1,1,0.7,0.7,0.0,3.644,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,29,filter_by_prefix,1,1,0.9,0.0,0.9,7.873,1,1,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,30,get_positive,1,1,0.0,0.0,0.0,1.99,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,31,is_prime,1,1,0.0,0.0,0.0,2.137,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,32,find_zero,0,0,0.7,0.7,0.0,5.106,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,33,sort_third,0,0,0.7,0.7,0.0,7.208,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,34,unique,1,1,0.6,0.6,0.0,3.163,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,35,max_element,1,1,0.0,0.0,0.0,1.991,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,36,fizz_buzz,0,0,0.9,0.8,0.1,15.444,1,1,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,37,sort_even,1,1,0.7,0.7,0.0,7.238,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,38,decode_cyclic,1,1,0.0,0.0,0.0,2.703,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,39,prime_fib,1,1,0.0,0.0,0.0,2.362,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,40,triples_sum_to_zero,1,1,0.7,0.7,0.0,6.072,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,41,car_race_collision,0,0,0.7,0.7,0.0,5.275,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,42,incr_list,1,1,0.0,0.0,0.0,1.994,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,43,pairs_sum_to_zero,1,1,0.0,0.0,0.0,2.101,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,44,change_base,1,1,0.0,0.0,0.0,2.116,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,45,triangle_area,1,1,0.0,0.0,0.0,2.008,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,46,fib4,0,0,0.7,0.7,0.0,5.59,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,47,median,1,1,0.7,0.7,0.0,5.581,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,48,is_palindrome,1,1,0.2,0.2,0.0,2.045,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,49,modp,0,0,0.9,0.7,0.2,9.634,1,1,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,50,decode_shift,1,1,0.7,0.7,0.0,6.269,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,51,remove_vowels,1,1,0.0,0.0,0.0,2.131,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,52,below_threshold,1,1,0.0,0.0,0.0,2.003,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,53,add,1,1,0.0,0.0,0.0,2.012,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,54,same_chars,0,0,0.7,0.7,0.0,5.952,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,55,fib,1,1,0.6,0.8,-0.2,5.063,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,56,correct_bracketing,1,1,0.0,0.0,0.0,2.14,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,57,monotonic,1,1,0.6,0.6,0.0,4.627,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,58,common,1,1,0.6,0.6,0.0,3.328,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,59,largest_prime_factor,1,1,0.6,0.6,0.0,4.256,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,60,sum_to_n,1,1,0.0,0.0,0.0,2.184,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,61,correct_bracketing,1,1,0.0,0.0,0.0,2.183,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,62,derivative,1,1,0.7,0.7,0.0,6.273,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,63,fibfib,1,1,0.7,0.7,0.0,5.481,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,64,vowels_count,1,1,0.7,0.7,0.0,7.802,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,65,circular_shift,0,0,0.0,0.0,0.0,2.133,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,66,digitSum,1,1,0.7,0.7,0.0,4.208,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,67,fruit_distribution,1,1,0.7,0.7,0.0,5.77,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,68,pluck,0,0,0.7,0.7,0.0,6.616,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,69,search,1,1,0.7,0.7,0.0,4.232,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,70,strange_sort_list,0,0,0.7,0.7,0.0,3.765,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,71,triangle_area,1,1,0.6,0.7,-0.1,5.13,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,72,will_it_fly,1,1,0.7,0.7,0.0,4.901,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,73,smallest_change,0,0,0.6,0.6,0.0,3.41,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,74,total_match,0,0,0.9,0.7,0.2,12.44,1,1,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,75,is_multiply_prime,0,0,0.7,0.7,0.0,3.846,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,76,is_simple_power,0,0,0.8,0.7,0.1,12.653,1,1,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,77,iscube,0,0,0.6,0.6,0.0,3.42,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,78,hex_key,0,0,0.9,0.9,0.0,14.548,1,0,1,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,79,decimal_to_binary,0,0,0.7,0.7,0.0,4.091,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,80,is_happy,0,0,0.6,0.6,0.0,3.054,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,81,numerical_letter_grade,0,0,0.6,0.6,0.0,5.617,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,82,prime_length,1,1,0.6,0.6,0.0,3.364,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,83,starts_one_ends,1,1,0.6,0.7,-0.1,5.146,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,84,solve,0,0,0.0,0.0,0.0,1.844,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,85,add,0,0,0.7,0.7,0.0,3.295,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,86,anti_shuffle,1,1,0.7,0.7,0.0,3.871,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,87,get_row,0,0,0.7,0.7,0.0,3.164,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,88,sort_array,1,1,0.7,0.7,0.0,4.064,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,89,encrypt,0,0,0.4,0.4,0.0,9.858,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,90,next_smallest,0,0,0.7,0.7,0.0,4.129,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,91,is_bored,0,0,0.6,0.6,0.0,3.194,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,92,any_int,1,1,0.6,0.6,0.0,4.771,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,93,encode,0,0,0.7,0.7,0.0,4.147,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,94,skjkasdkd,1,1,0.6,0.6,0.0,5.68,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,95,check_dict_case,1,1,0.6,0.3,0.3,5.969,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,96,count_up_to,1,1,0.6,0.6,0.0,5.588,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,97,multiply,0,0,0.6,0.6,0.0,2.79,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,98,count_upper,1,1,0.7,0.7,0.0,4.494,0,0,0,1
20260508_001149,llama31_tau75,with_monitoring,0.0,0.75,99,closest_integer,0,0,0.7,0.7,0.0,6.141,0,0,0,1
