run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,0,has_close_elements,1,1,0.9,0.6,0.3,8.193,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,1,separate_paren_groups,0,0,0.9,0.2,0.7,13.725,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,2,truncate_number,1,1,0.8,0.7,0.1,10.114,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,3,below_zero,1,1,0.9,0.0,0.9,7.191,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,4,mean_absolute_deviation,1,1,0.9,0.0,0.9,5.783,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,5,intersperse,0,0,0.9,0.6,0.3,12.113,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,6,parse_nested_parens,1,1,0.9,0.0,0.9,10.891,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,7,filter_by_substring,1,1,0.9,0.0,0.9,7.346,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,8,sum_product,1,1,0.0,0.0,0.0,1.929,0,0,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,9,rolling_max,1,1,0.7,0.7,0.0,5.307,0,0,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,10,make_palindrome,0,0,0.9,0.7,0.2,15.585,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,11,string_xor,1,1,0.9,0.0,0.9,8.916,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,12,longest,1,1,0.7,0.7,0.0,3.124,0,0,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,13,greatest_common_divisor,0,0,0.9,0.9,0.0,4.027,1,0,1,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,14,all_prefixes,1,1,0.9,0.0,0.9,6.346,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,15,string_sequence,1,1,0.9,0.6,0.3,7.291,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,16,count_distinct_characters,1,1,0.0,0.0,0.0,1.809,0,0,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,17,parse_music,0,0,0.7,0.7,0.0,5.054,0,0,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,18,how_many_times,1,1,0.9,0.7,0.2,11.228,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,19,sort_numbers,0,0,0.7,0.7,0.0,3.606,0,0,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,20,find_closest_elements,0,0,0.8,0.8,0.0,20.716,1,0,1,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,21,rescale_to_unit,1,1,0.9,0.0,0.9,11.253,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,22,filter_integers,1,1,0.9,0.0,0.9,7.817,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,23,strlen,1,1,0.0,0.0,0.0,2.041,0,0,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,24,largest_divisor,0,0,0.9,0.0,0.9,6.915,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,25,factorize,1,1,0.9,0.6,0.3,16.135,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,26,remove_duplicates,0,0,0.9,0.0,0.9,8.597,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,27,flip_case,1,1,0.0,0.0,0.0,2.234,0,0,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,28,concatenate,1,1,0.9,0.0,0.9,5.844,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,29,filter_by_prefix,1,1,0.9,0.0,0.9,7.869,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,30,get_positive,1,1,0.9,0.0,0.9,4.751,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,31,is_prime,1,1,0.9,0.0,0.9,6.582,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,32,find_zero,0,0,0.9,0.7,0.2,23.096,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,33,sort_third,0,0,0.9,0.7,0.2,16.474,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,34,unique,1,1,0.6,0.6,0.0,3.033,0,0,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,35,max_element,1,1,0.0,0.0,0.0,1.909,0,0,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,36,fizz_buzz,0,0,0.9,0.8,0.1,10.626,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,37,sort_even,0,0,0.9,0.7,0.2,19.829,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,38,decode_cyclic,0,0,0.9,0.6,0.3,17.764,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,39,prime_fib,0,0,0.9,0.7,0.2,10.746,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,40,triples_sum_to_zero,1,1,0.9,0.6,0.3,16.309,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,41,car_race_collision,0,0,0.8,0.8,0.0,27.613,1,0,1,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,42,incr_list,1,1,0.9,0.0,0.9,4.524,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,43,pairs_sum_to_zero,1,1,0.9,0.6,0.3,15.994,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,44,change_base,1,1,0.9,0.8,0.1,7.391,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,45,triangle_area,1,1,0.0,0.0,0.0,1.842,0,0,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,46,fib4,0,0,0.6,0.6,0.0,4.137,0,0,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,47,median,1,1,0.7,0.7,0.0,4.321,0,0,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,48,is_palindrome,1,1,0.9,0.6,0.3,8.917,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,49,modp,1,1,0.9,0.0,0.9,8.018,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,50,decode_shift,0,0,0.9,0.7,0.2,8.773,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,51,remove_vowels,1,1,0.9,0.6,0.3,11.932,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,52,below_threshold,0,0,0.9,0.0,0.9,7.042,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,53,add,1,1,0.9,0.0,0.9,5.373,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,54,same_chars,0,0,0.9,0.7,0.2,7.969,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,55,fib,1,1,0.9,0.8,0.1,8.463,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,56,correct_bracketing,1,1,0.9,0.0,0.9,8.058,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,57,monotonic,1,1,0.9,0.7,0.2,11.339,1,1,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,58,common,1,1,0.6,0.6,0.0,3.922,0,0,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,59,largest_prime_factor,1,1,0.6,0.6,0.0,4.426,0,0,0,1
20260508_010430,codellama_tau75,with_monitoring,0.0,0.75,60,sum_to_n,1,1,0.9,0.6,0.3,6.929,1,1,0,1
