run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache
20260508_012111,qwen_tau60,baseline,0.0,0.6,0,has_close_elements,1,1,,0.6,0.0,14.562,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,1,separate_paren_groups,1,1,,0.0,0.0,6.681,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,2,truncate_number,1,1,,0.6,0.0,3.646,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,3,below_zero,1,1,,0.0,0.0,3.842,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,4,mean_absolute_deviation,1,1,,0.0,0.0,7.959,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,5,intersperse,1,1,,0.6,0.0,4.901,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,6,parse_nested_parens,1,1,,0.9,0.0,6.797,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,7,filter_by_substring,1,1,,0.0,0.0,3.199,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,8,sum_product,1,1,,0.0,0.0,4.682,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,9,rolling_max,1,1,,0.0,0.0,4.295,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,10,make_palindrome,0,0,,0.7,0.0,7.612,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,11,string_xor,1,1,,0.0,0.0,5.519,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,12,longest,1,1,,0.6,0.0,3.792,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,13,greatest_common_divisor,1,1,,0.0,0.0,3.35,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,14,all_prefixes,1,1,,0.6,0.0,4.66,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,15,string_sequence,1,1,,0.7,0.0,4.297,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,16,count_distinct_characters,1,1,,0.0,0.0,2.6,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,17,parse_music,1,1,,0.6,0.0,10.563,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,18,how_many_times,1,1,,0.6,0.0,4.659,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,19,sort_numbers,1,1,,0.9,0.0,6.971,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,20,find_closest_elements,1,1,,0.6,0.0,7.317,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,21,rescale_to_unit,1,1,,0.0,0.0,4.343,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,22,filter_integers,1,1,,0.0,0.0,3.109,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,23,strlen,1,1,,0.0,0.0,2.268,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,24,largest_divisor,1,1,,0.6,0.0,5.344,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,25,factorize,1,1,,0.6,0.0,7.38,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,26,remove_duplicates,0,0,,0.0,0.0,4.457,0,0,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.6,27,flip_case,1,1,,0.0,0.0,2.927,0,0,0,0
