run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,0,has_close_elements,1,1,0.6,0.6,0.0,4.074,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,1,separate_paren_groups,1,1,0.0,0.0,0.0,2.173,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,2,truncate_number,1,1,0.6,0.6,0.0,3.972,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,3,below_zero,1,1,0.0,0.0,0.0,1.927,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,4,mean_absolute_deviation,1,1,0.0,0.0,0.0,2.284,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,5,intersperse,1,1,0.6,0.6,0.0,3.378,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,6,parse_nested_parens,1,1,0.9,0.6,0.3,11.576,1,1,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,7,filter_by_substring,1,1,0.0,0.0,0.0,1.809,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,8,sum_product,1,1,0.0,0.0,0.0,2.05,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,9,rolling_max,1,1,0.0,0.0,0.0,1.924,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,10,make_palindrome,0,0,0.7,0.7,0.0,5.063,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,11,string_xor,1,1,0.0,0.0,0.0,2.054,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,12,longest,1,1,0.6,0.6,0.0,3.009,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,13,greatest_common_divisor,1,1,0.0,0.0,0.0,1.917,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,14,all_prefixes,1,1,0.6,0.6,0.0,4.679,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,15,string_sequence,1,1,0.7,0.7,0.0,4.72,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,16,count_distinct_characters,1,1,0.0,0.0,0.0,1.809,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,17,parse_music,1,1,0.6,0.6,0.0,3.404,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,18,how_many_times,1,1,0.6,0.6,0.0,2.271,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,19,sort_numbers,1,1,0.9,0.9,0.0,11.822,1,0,1,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,20,find_closest_elements,1,1,0.6,0.6,0.0,3.273,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,21,rescale_to_unit,1,1,0.0,0.0,0.0,1.932,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,22,filter_integers,1,1,0.0,0.0,0.0,1.808,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,23,strlen,1,1,0.0,0.0,0.0,1.808,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,24,largest_divisor,1,1,0.6,0.6,0.0,4.094,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,25,factorize,1,1,0.6,0.6,0.0,4.801,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,26,remove_duplicates,0,0,0.0,0.0,0.0,1.93,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,27,flip_case,1,1,0.0,0.0,0.0,1.809,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,28,concatenate,1,1,0.0,0.0,0.0,1.809,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,29,filter_by_prefix,1,1,0.0,0.0,0.0,1.828,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,30,get_positive,1,1,0.0,0.0,0.0,1.822,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,31,is_prime,1,1,0.0,0.0,0.0,2.044,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,32,find_zero,0,0,0.9,0.6,0.3,24.466,1,1,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,33,sort_third,1,1,0.7,0.7,0.0,6.252,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,34,unique,1,1,0.6,0.6,0.0,2.847,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,35,max_element,1,1,0.0,0.0,0.0,1.805,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,36,fizz_buzz,1,1,0.9,0.9,0.0,13.448,1,0,1,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,37,sort_even,1,1,0.7,0.7,0.0,6.318,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,38,decode_cyclic,0,0,0.6,0.6,0.0,4.764,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,39,prime_fib,1,1,0.0,0.0,0.0,2.523,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,40,triples_sum_to_zero,1,1,0.6,0.6,0.0,5.103,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,41,car_race_collision,0,0,0.9,0.8,0.1,17.566,1,1,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,42,incr_list,1,1,0.0,0.0,0.0,1.827,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,43,pairs_sum_to_zero,1,1,0.0,0.0,0.0,1.923,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,44,change_base,1,1,0.0,0.0,0.0,1.928,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,45,triangle_area,1,1,0.0,0.0,0.0,1.809,0,0,0,1
20260508_015201,qwen_tau75,with_monitoring,0.0,0.75,46,fib4,1,1,0.7,0.6,0.1,4.053,0,0,0,1
