run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,0,has_close_elements,1,1,,0.6,0.0,2.4,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,1,separate_paren_groups,1,1,,0.0,0.0,1.64,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,2,truncate_number,1,1,,0.6,0.0,2.371,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,3,below_zero,1,1,,0.9,0.0,1.852,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,4,mean_absolute_deviation,1,1,,0.6,0.0,2.036,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,5,intersperse,1,1,,0.6,0.0,2.152,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,6,parse_nested_parens,1,1,,0.6,0.0,2.232,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,7,filter_by_substring,1,1,,0.9,0.0,2.482,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,8,sum_product,1,1,,0.0,0.0,1.521,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,9,rolling_max,1,1,,0.9,0.0,2.193,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,10,make_palindrome,0,0,,0.7,0.0,3.167,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,11,string_xor,1,1,,0.7,0.0,3.485,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,12,longest,1,1,,0.7,0.0,2.265,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,13,greatest_common_divisor,1,1,,0.0,0.0,1.402,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,14,all_prefixes,1,1,,0.9,0.0,2.891,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,15,string_sequence,1,1,,0.6,0.0,2.035,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,16,count_distinct_characters,1,1,,0.0,0.0,1.289,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,17,parse_music,1,1,,0.6,0.0,2.12,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,18,how_many_times,1,1,,0.6,0.0,1.779,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,19,sort_numbers,1,1,,0.7,0.0,3.963,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,20,find_closest_elements,1,1,,0.7,0.0,2.205,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,21,rescale_to_unit,1,1,,0.0,0.0,1.525,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,22,filter_integers,1,1,,0.7,0.0,3.078,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,23,strlen,1,1,,0.0,0.0,1.288,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,24,largest_divisor,1,1,,0.6,0.0,2.296,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,25,factorize,1,1,,0.7,0.0,2.509,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,26,remove_duplicates,0,0,,0.0,0.0,1.403,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,27,flip_case,1,1,,0.0,0.0,1.289,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,28,concatenate,1,1,,0.7,0.0,2.001,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,29,filter_by_prefix,1,1,,0.9,0.0,2.372,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,30,get_positive,1,1,,0.0,0.0,1.29,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,31,is_prime,1,1,,0.0,0.0,1.406,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,32,find_zero,0,0,,0.7,0.0,2.873,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,33,sort_third,0,0,,0.7,0.0,3.665,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,34,unique,1,1,,0.6,0.0,1.823,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,35,max_element,1,1,,0.0,0.0,1.288,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,36,fizz_buzz,1,1,,0.9,0.0,3.092,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,37,sort_even,1,1,,0.7,0.0,3.695,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,38,decode_cyclic,1,1,,0.0,0.0,1.984,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,39,prime_fib,1,1,,0.0,0.0,1.645,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,40,triples_sum_to_zero,1,1,,0.7,0.0,3.203,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,41,car_race_collision,0,0,,0.7,0.0,2.775,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,42,incr_list,1,1,,0.0,0.0,1.288,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,43,pairs_sum_to_zero,1,1,,0.0,0.0,1.401,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,44,change_base,1,1,,0.0,0.0,1.408,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,45,triangle_area,1,1,,0.0,0.0,1.289,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,46,fib4,0,0,,0.7,0.0,3.021,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,47,median,1,1,,0.7,0.0,2.961,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,48,is_palindrome,1,1,,0.2,0.0,1.294,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,49,modp,0,0,,0.9,0.0,1.735,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,50,decode_shift,1,1,,0.7,0.0,3.207,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,51,remove_vowels,1,1,,0.0,0.0,1.407,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,52,below_threshold,1,1,,0.0,0.0,1.288,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,53,add,1,1,,0.0,0.0,1.287,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,54,same_chars,0,0,,0.7,0.0,3.002,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,55,fib,1,1,,0.6,0.0,2.754,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,56,correct_bracketing,1,1,,0.0,0.0,1.411,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,57,monotonic,1,1,,0.6,0.0,2.486,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,58,common,1,1,,0.6,0.0,1.848,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,59,largest_prime_factor,1,1,,0.6,0.0,2.459,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,60,sum_to_n,1,1,,0.0,0.0,1.401,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,61,correct_bracketing,1,1,,0.0,0.0,1.409,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,62,derivative,1,1,,0.7,0.0,3.038,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,63,fibfib,1,1,,0.7,0.0,3.016,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,64,vowels_count,1,1,,0.7,0.0,3.916,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,65,circular_shift,0,0,,0.0,0.0,1.406,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,66,digitSum,1,1,,0.7,0.0,2.26,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,67,fruit_distribution,1,1,,0.7,0.0,3.021,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,68,pluck,0,0,,0.7,0.0,3.29,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,69,search,1,1,,0.7,0.0,2.345,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,70,strange_sort_list,0,0,,0.7,0.0,2.161,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,71,triangle_area,1,1,,0.6,0.0,2.688,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,72,will_it_fly,1,1,,0.7,0.0,2.517,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,73,smallest_change,0,0,,0.6,0.0,1.969,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,74,total_match,1,1,,0.9,0.0,2.28,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,75,is_multiply_prime,0,0,,0.7,0.0,2.356,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,76,is_simple_power,0,0,,0.8,0.0,3.111,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,77,iscube,0,0,,0.6,0.0,2.086,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,78,hex_key,0,0,,0.9,0.0,2.997,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,79,decimal_to_binary,0,0,,0.7,0.0,2.489,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,80,is_happy,0,1,,0.6,0.0,1.965,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,81,numerical_letter_grade,0,0,,0.6,0.0,3.537,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,82,prime_length,1,1,,0.6,0.0,2.123,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,83,starts_one_ends,1,1,,0.6,0.0,2.946,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,84,solve,0,0,,0.0,0.0,1.32,0,0,0,1
20260508_020305,llama31_retry_t03,baseline,0.0,0.6,85,add,0,0,,0.7,0.0,2.072,0,0,0,1
