run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,0,has_close_elements,1,1,0.6,0.6,0.0,3.838,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,1,separate_paren_groups,1,1,0.0,0.0,0.0,2.166,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,2,truncate_number,1,1,0.6,0.6,0.0,3.962,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,3,below_zero,1,1,0.9,0.0,0.9,7.156,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,4,mean_absolute_deviation,1,1,0.6,0.6,0.0,3.18,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,5,intersperse,1,1,0.6,0.6,0.0,3.411,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,6,parse_nested_parens,1,1,0.6,0.0,0.6,2.757,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,7,filter_by_substring,1,1,0.9,0.0,0.9,7.314,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,8,sum_product,1,1,0.0,0.0,0.0,2.036,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,9,rolling_max,1,1,0.9,0.7,0.2,10.943,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,10,make_palindrome,0,0,0.7,0.7,0.0,13.989,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,11,string_xor,1,1,0.7,0.7,0.0,13.661,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,12,longest,1,1,0.7,0.0,0.7,7.965,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,13,greatest_common_divisor,1,1,0.0,0.0,0.0,1.923,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,14,all_prefixes,1,1,0.9,0.9,0.0,13.023,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,15,string_sequence,1,1,0.6,0.6,0.0,3.303,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,16,count_distinct_characters,1,1,0.0,0.0,0.0,1.811,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,17,parse_music,1,1,0.6,0.6,0.0,3.232,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,18,how_many_times,1,1,0.6,0.6,0.0,2.672,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,19,sort_numbers,1,1,0.7,0.7,0.0,17.913,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,20,find_closest_elements,1,1,0.7,0.6,0.1,11.749,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,21,rescale_to_unit,1,1,0.0,0.0,0.0,2.048,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,22,filter_integers,1,1,0.7,0.0,0.7,10.803,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,23,strlen,1,1,0.0,0.0,0.0,1.808,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,24,largest_divisor,1,1,0.6,0.6,0.0,3.72,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,25,factorize,1,1,0.7,0.7,0.0,19.005,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,26,remove_duplicates,0,0,0.0,0.0,0.0,1.926,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,27,flip_case,1,1,0.0,0.0,0.0,1.801,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,28,concatenate,1,1,0.7,0.0,0.7,6.224,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,29,filter_by_prefix,1,1,0.9,0.0,0.9,7.153,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,30,get_positive,1,1,0.0,0.0,0.0,1.81,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,31,is_prime,1,1,0.0,0.0,0.0,1.925,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,32,find_zero,0,0,0.7,0.7,0.0,18.851,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,33,sort_third,0,0,0.7,0.7,0.0,22.444,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,34,unique,1,1,0.6,0.6,0.0,2.868,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,35,max_element,1,1,0.0,0.0,0.0,1.81,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,36,fizz_buzz,0,1,0.9,0.8,0.1,13.874,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,37,sort_even,1,1,0.7,0.7,0.0,15.139,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,38,decode_cyclic,1,1,0.0,0.0,0.0,2.511,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,39,prime_fib,1,1,0.0,0.0,0.0,2.167,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,40,triples_sum_to_zero,1,1,0.7,0.6,0.1,17.691,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,41,car_race_collision,0,0,0.7,0.7,0.0,11.029,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,42,incr_list,1,1,0.0,0.0,0.0,1.809,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,43,pairs_sum_to_zero,1,1,0.0,0.0,0.0,1.917,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,44,change_base,1,1,0.0,0.0,0.0,1.925,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,45,triangle_area,1,1,0.0,0.0,0.0,1.802,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,46,fib4,0,0,0.7,0.7,0.0,17.281,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,47,median,1,1,0.7,0.6,0.1,10.741,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,48,is_palindrome,1,1,0.2,0.2,0.0,1.803,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,49,modp,0,0,0.9,0.7,0.2,8.403,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,50,decode_shift,1,1,0.7,0.6,0.1,12.696,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,51,remove_vowels,1,1,0.0,0.0,0.0,1.958,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,52,below_threshold,1,1,0.0,0.0,0.0,1.821,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,53,add,1,1,0.0,0.0,0.0,1.808,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,54,same_chars,1,1,0.7,0.0,0.7,7.633,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,55,fib,1,1,0.6,0.8,-0.2,4.354,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,56,correct_bracketing,1,1,0.0,0.0,0.0,1.929,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,57,monotonic,1,1,0.6,0.6,0.0,4.085,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,58,common,1,1,0.6,0.6,0.0,2.938,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,59,largest_prime_factor,1,1,0.6,0.6,0.0,3.806,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,60,sum_to_n,1,1,0.0,0.0,0.0,1.924,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,61,correct_bracketing,1,1,0.0,0.0,0.0,1.929,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,62,derivative,0,0,0.7,0.0,0.7,8.423,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,63,fibfib,1,1,0.7,0.7,0.0,14.539,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,64,vowels_count,1,1,0.7,0.7,0.0,14.77,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,65,circular_shift,0,0,0.0,0.0,0.0,1.924,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,66,digitSum,0,0,0.7,0.0,0.7,6.564,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,67,fruit_distribution,1,1,0.7,0.6,0.1,19.354,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,68,pluck,0,0,0.7,0.7,0.0,14.873,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,69,search,1,1,0.7,0.7,0.0,11.8,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,70,strange_sort_list,1,1,0.7,0.0,0.7,10.11,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,71,triangle_area,1,1,0.6,0.7,-0.1,4.465,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,72,will_it_fly,1,1,0.7,0.7,0.0,10.573,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,73,smallest_change,0,0,0.6,0.6,0.0,2.942,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,74,total_match,0,0,0.9,0.7,0.2,11.03,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,75,is_multiply_prime,0,0,0.7,0.7,0.0,13.657,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,76,is_simple_power,0,0,0.8,0.7,0.1,12.235,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,77,iscube,0,0,0.6,0.6,0.0,3.378,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,78,hex_key,0,0,0.9,0.9,0.0,14.427,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,79,decimal_to_binary,0,0,0.7,0.0,0.7,7.198,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,80,is_happy,0,1,0.6,0.6,0.0,3.041,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,81,numerical_letter_grade,0,0,0.6,0.6,0.0,5.6,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,82,prime_length,1,1,0.6,0.6,0.0,3.344,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,83,starts_one_ends,1,1,0.6,0.7,-0.1,5.113,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,84,solve,0,0,0.0,0.0,0.0,1.841,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,85,add,0,0,0.7,0.7,0.0,11.432,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,86,anti_shuffle,0,0,0.7,0.6,0.1,14.857,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,87,get_row,0,0,0.7,0.7,0.0,11.305,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,88,sort_array,1,1,0.7,0.6,0.1,22.045,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,89,encrypt,0,1,0.4,0.4,0.0,9.769,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,90,next_smallest,0,1,0.7,0.7,0.0,10.938,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,91,is_bored,0,0,0.6,0.6,0.0,3.183,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,92,any_int,1,1,0.6,0.6,0.0,4.647,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,93,encode,0,0,0.7,0.7,0.0,17.176,1,0,1,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,94,skjkasdkd,1,1,0.6,0.6,0.0,5.619,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,95,check_dict_case,1,1,0.6,0.3,0.3,5.913,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,96,count_up_to,1,1,0.6,0.6,0.0,5.517,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,97,multiply,0,0,0.6,0.6,0.0,2.738,0,0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,98,count_upper,0,1,0.7,0.0,0.7,10.169,1,1,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.6,99,closest_integer,0,0,0.7,0.7,0.0,14.458,1,0,1,1
