run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,0,has_close_elements,1,1,0.6,0.6,0.0,4.089,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,1,separate_paren_groups,1,1,0.0,0.0,0.0,2.162,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,2,truncate_number,1,1,0.6,0.6,0.0,3.976,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,3,below_zero,1,1,0.0,0.0,0.0,1.927,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,4,mean_absolute_deviation,1,1,0.0,0.0,0.0,2.286,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,5,intersperse,1,1,0.6,0.6,0.0,3.38,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,6,parse_nested_parens,1,1,0.9,0.6,0.3,11.566,1,1,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,7,filter_by_substring,1,1,0.0,0.0,0.0,1.81,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,8,sum_product,1,1,0.0,0.0,0.0,2.042,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,9,rolling_max,1,1,0.0,0.0,0.0,1.93,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,10,make_palindrome,0,0,0.7,0.7,0.0,13.762,1,0,1,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,11,string_xor,1,1,0.0,0.0,0.0,2.054,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,12,longest,1,1,0.6,0.6,0.0,3.003,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,13,greatest_common_divisor,1,1,0.0,0.0,0.0,1.92,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,14,all_prefixes,1,1,0.6,0.6,0.0,4.676,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,15,string_sequence,1,1,0.7,0.6,0.1,8.389,1,1,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,16,count_distinct_characters,1,1,0.0,0.0,0.0,1.813,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,17,parse_music,1,1,0.6,0.6,0.0,3.403,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,18,how_many_times,1,1,0.6,0.6,0.0,2.266,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,19,sort_numbers,1,1,0.9,0.9,0.0,11.837,1,0,1,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,20,find_closest_elements,1,1,0.6,0.6,0.0,3.279,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,21,rescale_to_unit,1,1,0.0,0.0,0.0,1.927,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,22,filter_integers,1,1,0.0,0.0,0.0,1.805,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,23,strlen,1,1,0.0,0.0,0.0,1.805,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,24,largest_divisor,1,1,0.6,0.6,0.0,4.086,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,25,factorize,1,1,0.6,0.6,0.0,4.807,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,26,remove_duplicates,0,0,0.0,0.0,0.0,1.932,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,27,flip_case,1,1,0.0,0.0,0.0,1.812,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,28,concatenate,1,1,0.0,0.0,0.0,1.81,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,29,filter_by_prefix,1,1,0.0,0.0,0.0,1.811,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,30,get_positive,1,1,0.0,0.0,0.0,1.803,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,31,is_prime,1,1,0.0,0.0,0.0,2.044,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,32,find_zero,0,0,0.9,0.6,0.3,24.455,1,1,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,33,sort_third,1,1,0.7,0.2,0.5,12.984,1,1,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,34,unique,1,1,0.6,0.6,0.0,2.859,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,35,max_element,1,1,0.0,0.0,0.0,1.805,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,36,fizz_buzz,1,1,0.9,0.9,0.0,13.429,1,0,1,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,37,sort_even,1,1,0.7,0.7,0.0,14.44,1,0,1,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,38,decode_cyclic,0,0,0.6,0.6,0.0,4.763,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,39,prime_fib,1,1,0.0,0.0,0.0,2.518,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,40,triples_sum_to_zero,1,1,0.6,0.6,0.0,5.107,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,41,car_race_collision,0,0,0.9,0.8,0.1,17.534,1,1,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,42,incr_list,1,1,0.0,0.0,0.0,1.808,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,43,pairs_sum_to_zero,1,1,0.0,0.0,0.0,1.919,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,44,change_base,1,1,0.0,0.0,0.0,1.927,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,45,triangle_area,1,1,0.0,0.0,0.0,1.816,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,46,fib4,1,1,0.7,0.7,0.0,15.006,1,0,1,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,47,median,1,1,0.7,0.0,0.7,9.746,1,1,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,48,is_palindrome,1,1,0.2,0.2,0.0,1.817,0,0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.6,49,modp,1,1,0.6,0.6,0.0,4.962,0,0,0,1
