run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,0,has_close_elements,1,1,0.9,0.6,0.3,8.132,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,1,separate_paren_groups,0,0,0.9,0.6,0.3,12.085,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,2,truncate_number,1,1,0.8,0.7,0.1,9.786,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,3,below_zero,1,1,0.9,0.0,0.9,7.147,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,4,mean_absolute_deviation,1,1,0.9,0.6,0.3,7.956,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,5,intersperse,0,0,0.9,0.6,0.3,12.038,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,6,parse_nested_parens,0,0,0.6,0.6,0.0,3.23,0,0,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,7,filter_by_substring,1,1,0.9,0.0,0.9,7.313,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,8,sum_product,1,1,0.0,0.0,0.0,1.932,0,0,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,9,rolling_max,0,0,0.9,0.7,0.2,10.267,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,10,make_palindrome,0,0,0.9,0.7,0.2,15.506,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,11,string_xor,1,1,0.9,0.0,0.9,8.866,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,12,longest,1,1,0.7,0.7,0.0,3.111,0,0,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,13,greatest_common_divisor,1,1,0.9,0.0,0.9,6.544,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,14,all_prefixes,1,1,0.9,0.0,0.9,6.316,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,15,string_sequence,1,1,0.7,0.7,0.0,3.673,0,0,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,16,count_distinct_characters,1,1,0.9,0.0,0.9,6.02,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,17,parse_music,0,0,0.7,0.7,0.0,3.672,0,0,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,18,how_many_times,1,1,0.9,0.7,0.2,11.137,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,19,sort_numbers,0,0,0.6,0.6,0.0,5.786,0,0,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,20,find_closest_elements,1,1,0.9,0.6,0.3,19.534,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,21,rescale_to_unit,1,1,0.9,0.0,0.9,8.941,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,22,filter_integers,1,1,0.7,0.7,0.0,5.26,0,0,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,23,strlen,1,1,0.0,0.0,0.0,1.806,0,0,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,24,largest_divisor,0,0,0.9,0.0,0.9,6.392,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,25,factorize,1,1,0.6,0.6,0.0,3.978,0,0,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,26,remove_duplicates,0,0,0.9,0.0,0.9,7.383,1,1,0,1
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.7,27,flip_case,1,1,0.0,0.0,0.0,2.036,0,0,0,1
