run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache,use_gate,use_fixer_context
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,0,has_close_elements,1,1,0.9,0.6,0.3,9.781,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,1,separate_paren_groups,0,0,0.9,0.2,0.7,13.823,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,2,truncate_number,1,1,0.8,0.7,0.1,10.14,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,3,below_zero,1,1,0.9,0.0,0.9,7.41,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,4,mean_absolute_deviation,1,1,0.9,0.0,0.9,6.01,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,5,intersperse,0,0,0.9,0.6,0.3,12.511,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,6,parse_nested_parens,1,1,0.9,0.0,0.9,11.28,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,7,filter_by_substring,1,1,0.9,0.0,0.9,7.598,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,8,sum_product,1,1,0.0,0.0,0.0,1.981,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,9,rolling_max,1,1,0.7,0.7,0.0,13.421,1,0,1,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,10,make_palindrome,0,0,0.9,0.7,0.2,16.234,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,11,string_xor,1,1,0.9,0.0,0.9,9.246,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,12,longest,1,1,0.7,0.0,0.7,11.582,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,13,greatest_common_divisor,0,0,0.9,0.9,0.0,4.223,1,0,1,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,14,all_prefixes,1,1,0.9,0.0,0.9,6.691,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,15,string_sequence,1,1,0.9,0.6,0.3,7.595,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,16,count_distinct_characters,1,1,0.0,0.0,0.0,1.881,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,17,parse_music,0,0,0.7,0.7,0.0,21.285,1,0,1,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,18,how_many_times,1,1,0.9,0.7,0.2,11.587,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,19,sort_numbers,0,0,0.7,0.7,0.0,12.147,1,0,1,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,20,find_closest_elements,0,0,0.8,0.8,0.0,21.836,1,0,1,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,21,rescale_to_unit,1,1,0.9,0.0,0.9,11.906,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,22,filter_integers,1,1,0.9,0.0,0.9,7.673,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,23,strlen,1,1,0.0,0.0,0.0,1.873,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,24,largest_divisor,0,0,0.9,0.0,0.9,6.741,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,25,factorize,1,1,0.9,0.6,0.3,15.403,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,26,remove_duplicates,0,0,0.9,0.0,0.9,8.203,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,27,flip_case,1,1,0.0,0.0,0.0,2.136,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,28,concatenate,1,1,0.9,0.0,0.9,5.586,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,29,filter_by_prefix,1,1,0.9,0.0,0.9,7.429,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,30,get_positive,1,1,0.9,0.0,0.9,4.595,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,31,is_prime,1,1,0.9,0.0,0.9,6.356,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,32,find_zero,0,0,0.9,0.7,0.2,22.524,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,33,sort_third,0,0,0.9,0.7,0.2,15.907,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,34,unique,1,1,0.6,0.6,0.0,2.955,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,35,max_element,1,1,0.0,0.0,0.0,1.867,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,36,fizz_buzz,0,0,0.9,0.8,0.1,10.262,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,37,sort_even,0,0,0.9,0.7,0.2,19.115,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,38,decode_cyclic,0,0,0.9,0.6,0.3,17.234,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,39,prime_fib,0,0,0.9,0.7,0.2,10.404,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,40,triples_sum_to_zero,1,1,0.9,0.6,0.3,15.89,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,41,car_race_collision,0,0,0.8,0.8,0.0,27.934,1,0,1,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,42,incr_list,1,1,0.9,0.0,0.9,4.626,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,43,pairs_sum_to_zero,1,1,0.9,0.6,0.3,16.15,1,1,0,1,1,1
