run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache,use_gate,use_fixer_context
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,0,has_close_elements,1,1,0.9,0.6,0.3,8.846,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,1,separate_paren_groups,0,0,0.9,0.7,0.2,8.435,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,2,truncate_number,0,0,0.8,0.6,0.2,9.0,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,3,below_zero,1,1,0.9,0.0,0.9,6.863,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,4,mean_absolute_deviation,1,1,0.9,0.0,0.9,4.893,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,5,intersperse,1,1,0.9,0.6,0.3,6.908,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,6,parse_nested_parens,0,0,0.9,0.6,0.3,7.369,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,7,filter_by_substring,1,1,0.9,0.3,0.6,5.83,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,8,sum_product,1,1,0.0,0.0,0.0,2.019,0,0,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,9,rolling_max,1,1,0.7,0.6,0.1,11.35,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,10,make_palindrome,0,0,0.9,0.7,0.2,8.186,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,11,string_xor,0,0,0.9,0.7,0.2,8.62,1,1,0,1,1,0
