run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache,use_gate,use_fixer_context
20260525_020140,llama31_p9_t3_tau70,with_monitoring,0.3,0.7,0,has_close_elements,1,1,0.6,0.6,0.0,3.876,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,with_monitoring,0.3,0.7,1,separate_paren_groups,1,1,0.0,0.0,0.0,2.161,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,with_monitoring,0.3,0.7,2,truncate_number,1,1,0.6,0.6,0.0,3.994,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,with_monitoring,0.3,0.7,3,below_zero,1,1,0.9,0.0,0.9,7.208,1,1,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,with_monitoring,0.3,0.7,4,mean_absolute_deviation,1,1,0.6,0.6,0.0,3.205,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,with_monitoring,0.3,0.7,5,intersperse,1,1,0.6,0.6,0.0,3.445,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,with_monitoring,0.3,0.7,6,parse_nested_parens,1,1,0.6,0.0,0.6,2.769,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,with_monitoring,0.3,0.7,7,filter_by_substring,1,1,0.9,0.0,0.9,7.348,1,1,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,with_monitoring,0.3,0.7,8,sum_product,1,1,0.0,0.0,0.0,2.052,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,with_monitoring,0.3,0.7,9,rolling_max,1,1,0.9,0.7,0.2,10.97,1,1,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,with_monitoring,0.3,0.7,10,make_palindrome,0,0,0.7,0.7,0.0,4.39,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,with_monitoring,0.3,0.7,11,string_xor,1,1,0.7,0.7,0.0,6.134,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,with_monitoring,0.3,0.7,12,longest,1,1,0.7,0.7,0.0,3.564,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,with_monitoring,0.3,0.7,13,greatest_common_divisor,1,1,0.0,0.0,0.0,1.951,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,with_monitoring,0.3,0.7,14,all_prefixes,1,1,0.9,0.9,0.0,13.068,1,0,1,1,1,1
