run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache,use_gate,use_fixer_context
20260525_034754,starcoder_p9_t2_tau70,with_monitoring,0.3,0.7,0,has_close_elements,0,0,0.0,0.0,0.0,1.076,0,0,0,1,1,1
20260525_034754,starcoder_p9_t2_tau70,with_monitoring,0.3,0.7,1,separate_paren_groups,0,0,0.0,0.0,0.0,1.077,0,0,0,1,1,1
20260525_034754,starcoder_p9_t2_tau70,with_monitoring,0.3,0.7,2,truncate_number,0,0,0.0,0.0,0.0,1.055,0,0,0,1,1,1
20260525_034754,starcoder_p9_t2_tau70,with_monitoring,0.3,0.7,3,below_zero,0,0,0.0,0.0,0.0,1.048,0,0,0,1,1,1
20260525_034754,starcoder_p9_t2_tau70,with_monitoring,0.3,0.7,4,mean_absolute_deviation,0,0,0.0,0.0,0.0,1.048,0,0,0,1,1,1
20260525_034754,starcoder_p9_t2_tau70,with_monitoring,0.3,0.7,5,intersperse,0,0,0.0,0.0,0.0,1.055,0,0,0,1,1,1
20260525_034754,starcoder_p9_t2_tau70,with_monitoring,0.3,0.7,6,parse_nested_parens,0,0,0.0,0.0,0.0,1.046,0,0,0,1,1,1
20260525_034754,starcoder_p9_t2_tau70,with_monitoring,0.3,0.7,7,filter_by_substring,0,0,0.0,0.0,0.0,1.053,0,0,0,1,1,1
20260525_034754,starcoder_p9_t2_tau70,with_monitoring,0.3,0.7,8,sum_product,0,0,0.0,0.0,0.0,1.052,0,0,0,1,1,1
20260525_034754,starcoder_p9_t2_tau70,with_monitoring,0.3,0.7,9,rolling_max,0,0,0.0,0.0,0.0,1.041,0,0,0,1,1,1
20260525_034754,starcoder_p9_t2_tau70,with_monitoring,0.3,0.7,10,make_palindrome,0,0,0.0,0.0,0.0,1.053,0,0,0,1,1,1
20260525_034754,starcoder_p9_t2_tau70,with_monitoring,0.3,0.7,11,string_xor,0,0,0.0,0.0,0.0,1.041,0,0,0,1,1,1
20260525_034754,starcoder_p9_t2_tau70,with_monitoring,0.3,0.7,12,longest,0,0,0.0,0.0,0.0,1.042,0,0,0,1,1,1
20260525_034754,starcoder_p9_t2_tau70,with_monitoring,0.3,0.7,13,greatest_common_divisor,0,0,0.0,0.0,0.0,1.048,0,0,0,1,1,1
20260525_034754,starcoder_p9_t2_tau70,with_monitoring,0.3,0.7,14,all_prefixes,0,0,0.0,0.0,0.0,1.042,0,0,0,1,1,1
20260525_034754,starcoder_p9_t2_tau70,with_monitoring,0.3,0.7,15,string_sequence,0,0,0.0,0.0,0.0,1.034,0,0,0,1,1,1
20260525_034754,starcoder_p9_t2_tau70,with_monitoring,0.3,0.7,16,count_distinct_characters,0,0,0.0,0.0,0.0,1.038,0,0,0,1,1,1
