run_timestamp,run_label,version,temperature,retry_temperature,threshold,dataset_size,pass_at_1_rate,pass_at_1_count,pass_at_2_rate,pass_at_2_count,avg_pre_hallucination,avg_post_hallucination,avg_improvement,avg_latency_s,fixer_trigger_rate,fixer_change_rate,gate_revert_rate,use_fewshot,use_iterative,use_gate,use_fixer_context,benchmark
20260619_204021,codellama_p10_hep_tau60,baseline,0.0,0.0,0.6,100,0.17,17,,,0.0,0.741,0.0,2.269,0.0,0.0,0.0,0,0,1,1,humaneval_plus
20260619_204021,codellama_p10_hep_tau60,with_monitoring,0.0,0.0,0.6,100,0.5,50,,,0.741,0.404,0.337,3.393,0.76,0.71,0.05,0,0,1,1,humaneval_plus
20260619_205109,codellama_p10_hep_tau70,baseline,0.0,0.0,0.7,100,0.17,17,,,0.0,0.741,0.0,1.099,0.0,0.0,0.0,0,0,1,1,humaneval_plus
20260619_205109,codellama_p10_hep_tau70,with_monitoring,0.0,0.0,0.7,100,0.49,49,,,0.748,0.434,0.314,3.214,0.65,0.63,0.02,0,0,1,1,humaneval_plus
20260619_210613,codellama_p10_hep_tau60,baseline,0.0,0.0,0.6,100,0.17,17,,,0.0,0.741,0.0,1.095,0.0,0.0,0.0,0,0,1,1,humaneval_plus
20260619_210613,codellama_p10_hep_tau60,with_monitoring,0.0,0.0,0.6,100,0.5,50,,,0.741,0.404,0.337,3.405,0.76,0.71,0.05,0,0,1,1,humaneval_plus
20260619_211500,codellama_p10_hep_tau70,baseline,0.0,0.0,0.7,100,0.17,17,,,0.0,0.741,0.0,1.1,0.0,0.0,0.0,0,0,1,1,humaneval_plus
20260619_211500,codellama_p10_hep_tau70,with_monitoring,0.0,0.0,0.7,100,0.49,49,,,0.748,0.434,0.314,3.214,0.65,0.63,0.02,0,0,1,1,humaneval_plus
20260619_212327,qwen_p10_hep_tau60,baseline,0.0,0.0,0.6,100,0.85,85,,,0.0,0.398,0.0,1.796,0.0,0.0,0.0,0,0,1,1,humaneval_plus
20260619_212327,qwen_p10_hep_tau60,with_monitoring,0.0,0.0,0.6,100,0.81,81,,,0.396,0.329,0.067,2.813,0.27,0.16,0.11,0,0,1,1,humaneval_plus
20260619_213231,qwen_p10_hep_tau70,baseline,0.0,0.0,0.7,100,0.85,85,,,0.0,0.398,0.0,1.794,0.0,0.0,0.0,0,0,1,1,humaneval_plus
20260619_213231,qwen_p10_hep_tau70,with_monitoring,0.0,0.0,0.7,100,0.81,81,,,0.396,0.38,0.016,2.468,0.09,0.07,0.02,0,0,1,1,humaneval_plus
20260619_214100,codellama_p10_mbpp_tau60,baseline,0.0,0.0,0.6,100,0.0,0,,,0.0,0.9,0.0,1.229,0.0,0.0,0.0,0,0,1,1,mbpp
20260619_214100,codellama_p10_mbpp_tau60,with_monitoring,0.0,0.0,0.6,100,0.3,30,,,0.9,0.377,0.523,3.673,1.0,0.9,0.1,0,0,1,1,mbpp
20260619_214945,codellama_p10_mbpp_tau70,baseline,0.0,0.0,0.7,100,0.0,0,,,0.0,0.9,0.0,1.145,0.0,0.0,0.0,0,0,1,1,mbpp
20260619_214945,codellama_p10_mbpp_tau70,with_monitoring,0.0,0.0,0.7,100,0.3,30,,,0.9,0.377,0.523,3.672,1.0,0.9,0.1,0,0,1,1,mbpp
20260619_215818,qwen_p10_mbpp_tau60,baseline,0.0,0.0,0.6,100,0.57,57,,,0.0,0.397,0.0,1.607,0.0,0.0,0.0,0,0,1,1,mbpp
20260619_215818,qwen_p10_mbpp_tau60,with_monitoring,0.0,0.0,0.6,100,0.52,52,,,0.395,0.326,0.069,2.646,0.32,0.22,0.1,0,0,1,1,mbpp
20260619_220615,qwen_p10_mbpp_tau70,baseline,0.0,0.0,0.7,100,0.57,57,,,0.0,0.397,0.0,1.606,0.0,0.0,0.0,0,0,1,1,mbpp
20260619_220615,qwen_p10_mbpp_tau70,with_monitoring,0.0,0.0,0.7,100,0.55,55,,,0.396,0.363,0.033,2.277,0.14,0.11,0.03,0,0,1,1,mbpp
