run_timestamp,run_label,version,temperature,threshold,dataset_size,pass_at_1_rate,pass_at_1_count,pass_at_2_rate,pass_at_2_count,avg_pre_hallucination,avg_post_hallucination,avg_improvement,avg_latency_s,fixer_trigger_rate,fixer_change_rate,gate_revert_rate,use_fewshot,use_iterative
20260505_164452,deepseek_trial1,baseline,0.0,0.6,100,0.77,77,,,0.0,0.501,0.0,5.33,0.0,0.0,0.0,0,0
20260505_164452,deepseek_trial1,with_monitoring,0.0,0.6,100,0.76,76,,,0.501,0.428,0.073,7.176,0.41,0.2,0.21,0,0
20260505_170549,deepseek_trial2,baseline,0.0,0.6,100,0.77,77,,,0.0,0.501,0.0,5.233,0.0,0.0,0.0,0,0
20260505_170549,deepseek_trial2,with_monitoring,0.0,0.6,100,0.76,76,,,0.501,0.428,0.073,7.172,0.41,0.2,0.21,0,0
20260505_172636,deepseek_trial3,baseline,0.0,0.6,100,0.77,77,,,0.0,0.501,0.0,5.233,0.0,0.0,0.0,0,0
20260505_172636,deepseek_trial3,with_monitoring,0.0,0.6,100,0.76,76,,,0.501,0.428,0.073,7.173,0.41,0.2,0.21,0,0
20260505_174723,starcoder_trial1,baseline,0.0,0.6,100,0.0,0,,,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0,0
20260505_174723,starcoder_trial1,with_monitoring,0.0,0.6,100,0.0,0,,,0.0,0.0,0.0,1.039,0.0,0.0,0.0,0,0
20260505_175106,starcoder_trial2,baseline,0.0,0.6,100,0.0,0,,,0.0,0.0,0.0,1.092,0.0,0.0,0.0,0,0
20260505_175106,starcoder_trial2,with_monitoring,0.0,0.6,100,0.0,0,,,0.0,0.0,0.0,1.037,0.0,0.0,0.0,0,0
20260505_175445,starcoder_trial3,baseline,0.0,0.6,100,0.0,0,,,0.0,0.0,0.0,1.093,0.0,0.0,0.0,0,0
20260505_175445,starcoder_trial3,with_monitoring,0.0,0.6,100,0.0,0,,,0.0,0.0,0.0,1.036,0.0,0.0,0.0,0,0
20260505_175824,qwen_trial1,baseline,0.0,0.6,100,0.9,90,,,0.0,0.43,0.0,6.581,0.0,0.0,0.0,0,0
20260505_175824,qwen_trial1,with_monitoring,0.0,0.6,100,0.87,87,,,0.43,0.372,0.058,6.281,0.34,0.16,0.18,0,0
20260505_181956,qwen_trial2,baseline,0.0,0.6,100,0.9,90,,,0.0,0.43,0.0,5.28,0.0,0.0,0.0,0,0
20260505_181956,qwen_trial2,with_monitoring,0.0,0.6,100,0.87,87,,,0.43,0.372,0.058,6.338,0.34,0.16,0.18,0,0
20260505_183925,qwen_trial3,baseline,0.0,0.6,100,0.9,90,,,0.0,0.43,0.0,5.21,0.0,0.0,0.0,0,0
20260505_183925,qwen_trial3,with_monitoring,0.0,0.6,100,0.87,87,,,0.43,0.372,0.058,6.292,0.34,0.16,0.18,0,0
