run_timestamp,run_label,version,temperature,retry_temperature,threshold,dataset_size,pass_at_1_rate,pass_at_1_count,pass_at_2_rate,pass_at_2_count,avg_pre_hallucination,avg_post_hallucination,avg_improvement,avg_latency_s,fixer_trigger_rate,fixer_change_rate,gate_revert_rate,use_fewshot,use_iterative
20260507_233559,llama31_tau60,baseline,0.0,0.0,0.6,100,0.72,72,,,0.0,0.509,0.0,6.27,0.0,0.0,0.0,0,0
20260507_233559,llama31_tau60,with_monitoring,0.0,0.0,0.6,100,0.68,68,,,0.509,0.399,0.11,7.893,0.46,0.24,0.22,0,0
20260507_235942,llama31_tau70,baseline,0.0,0.0,0.7,100,0.72,72,,,0.0,0.509,0.0,2.406,0.0,0.0,0.0,0,0
20260507_235942,llama31_tau70,with_monitoring,0.0,0.0,0.7,100,0.7,70,,,0.509,0.469,0.04,4.785,0.1,0.08,0.02,0,0
20260508_001149,llama31_tau75,baseline,0.0,0.0,0.75,100,0.72,72,,,0.0,0.509,0.0,2.627,0.0,0.0,0.0,0,0
20260508_001149,llama31_tau75,with_monitoring,0.0,0.0,0.75,100,0.7,70,,,0.509,0.469,0.04,4.79,0.1,0.08,0.02,0,0
20260508_002417,codellama_tau60,baseline,0.0,0.0,0.6,100,0.2,20,,,0.0,0.741,0.0,4.357,0.0,0.0,0.0,0,0
20260508_002417,codellama_tau60,with_monitoring,0.0,0.0,0.6,100,0.52,52,,,0.741,0.405,0.336,9.66,0.78,0.67,0.11,0,0
20260508_004756,codellama_tau70,baseline,0.0,0.0,0.7,100,0.2,20,,,0.0,0.741,0.0,1.073,0.0,0.0,0.0,0,0
20260508_004756,codellama_tau70,with_monitoring,0.0,0.0,0.7,100,0.53,53,,,0.741,0.435,0.306,8.71,0.65,0.61,0.04,0,0
20260508_010430,codellama_tau75,baseline,0.0,0.0,0.75,100,0.2,20,,,0.0,0.741,0.0,1.077,0.0,0.0,0.0,0,0
20260508_010430,codellama_tau75,with_monitoring,0.0,0.0,0.75,100,0.53,53,,,0.741,0.435,0.306,8.768,0.65,0.61,0.04,0,0
20260508_012111,qwen_tau60,baseline,0.0,0.0,0.6,100,0.9,90,,,0.0,0.43,0.0,5.443,0.0,0.0,0.0,0,0
20260508_012111,qwen_tau60,with_monitoring,0.0,0.0,0.6,100,0.87,87,,,0.43,0.372,0.058,6.35,0.34,0.16,0.18,0,0
20260508_014058,qwen_tau70,baseline,0.0,0.0,0.7,100,0.9,90,,,0.0,0.43,0.0,2.231,0.0,0.0,0.0,0,0
20260508_014058,qwen_tau70,with_monitoring,0.0,0.0,0.7,100,0.88,88,,,0.43,0.419,0.011,4.341,0.08,0.05,0.03,0,0
20260508_015201,qwen_tau75,baseline,0.0,0.0,0.75,100,0.9,90,,,0.0,0.43,0.0,2.266,0.0,0.0,0.0,0,0
20260508_015201,qwen_tau75,with_monitoring,0.0,0.0,0.75,100,0.88,88,,,0.43,0.419,0.011,4.305,0.08,0.05,0.03,0,0
20260508_020305,llama31_retry_t03,baseline,0.0,0.3,0.6,100,0.72,72,0.74,74,0.0,0.509,0.0,2.333,0.0,0.0,0.0,0,1
20260508_020305,llama31_retry_t03,with_monitoring,0.0,0.3,0.6,100,0.68,68,0.73,73,0.509,0.399,0.11,7.481,0.46,0.24,0.22,0,1
20260508_022859,llama31_retry_t05,baseline,0.0,0.5,0.6,100,0.72,72,0.74,74,0.0,0.509,0.0,2.332,0.0,0.0,0.0,0,1
20260508_022859,llama31_retry_t05,with_monitoring,0.0,0.5,0.6,100,0.68,68,0.73,73,0.509,0.399,0.11,7.48,0.46,0.24,0.22,0,1
20260508_025222,codellama_retry_t03,baseline,0.0,0.3,0.6,100,0.2,20,0.38,38,0.0,0.741,0.0,1.065,0.0,0.0,0.0,0,1
20260508_025222,codellama_retry_t03,with_monitoring,0.0,0.3,0.6,100,0.52,52,0.62,62,0.741,0.405,0.336,9.601,0.78,0.67,0.11,0,1
20260508_032521,codellama_retry_t05,baseline,0.0,0.5,0.6,100,0.2,20,0.38,38,0.0,0.741,0.0,1.057,0.0,0.0,0.0,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.5,0.6,100,0.52,52,0.62,62,0.741,0.405,0.336,9.574,0.78,0.67,0.11,0,1
20260508_035402,qwen_retry_t03,baseline,0.0,0.3,0.6,100,0.9,90,0.93,93,0.0,0.43,0.0,2.252,0.0,0.0,0.0,0,1
20260508_035402,qwen_retry_t03,with_monitoring,0.0,0.3,0.6,100,0.87,87,0.88,88,0.43,0.372,0.058,6.295,0.34,0.16,0.18,0,1
20260508_041142,qwen_retry_t05,baseline,0.0,0.5,0.6,100,0.9,90,0.93,93,0.0,0.43,0.0,2.241,0.0,0.0,0.0,0,1
20260508_041142,qwen_retry_t05,with_monitoring,0.0,0.5,0.6,100,0.87,87,0.88,88,0.43,0.372,0.058,6.267,0.34,0.16,0.18,0,1
