run_timestamp,run_label,version,temperature,retry_temperature,threshold,dataset_size,pass_at_1_rate,pass_at_1_count,pass_at_2_rate,pass_at_2_count,avg_pre_hallucination,avg_post_hallucination,avg_improvement,avg_latency_s,fixer_trigger_rate,fixer_change_rate,gate_revert_rate,use_fewshot,use_iterative,use_gate,use_fixer_context
20260525_004629,llama31_p9_t1_tau60,baseline,0.3,0.3,0.6,100,0.72,72,,,0.0,0.509,0.0,2.401,0.0,0.0,0.0,0,0,1,1
20260525_004629,llama31_p9_t1_tau60,with_monitoring,0.3,0.3,0.6,100,0.68,68,,,0.509,0.399,0.11,7.538,0.46,0.24,0.22,0,0,1,1
20260525_010340,llama31_p9_t1_tau70,baseline,0.3,0.3,0.7,100,0.72,72,,,0.0,0.509,0.0,2.37,0.0,0.0,0.0,0,0,1,1
20260525_010340,llama31_p9_t1_tau70,with_monitoring,0.3,0.3,0.7,100,0.7,70,,,0.509,0.469,0.04,4.397,0.1,0.08,0.02,0,0,1,1
20260525_011534,llama31_p9_t2_tau60,baseline,0.3,0.3,0.6,100,0.72,72,,,0.0,0.509,0.0,2.365,0.0,0.0,0.0,0,0,1,1
20260525_011534,llama31_p9_t2_tau60,with_monitoring,0.3,0.3,0.6,100,0.68,68,,,0.509,0.399,0.11,7.532,0.46,0.24,0.22,0,0,1,1
20260525_013241,llama31_p9_t2_tau70,baseline,0.3,0.3,0.7,100,0.72,72,,,0.0,0.509,0.0,2.364,0.0,0.0,0.0,0,0,1,1
20260525_013241,llama31_p9_t2_tau70,with_monitoring,0.3,0.3,0.7,100,0.7,70,,,0.509,0.469,0.04,4.402,0.1,0.08,0.02,0,0,1,1
20260525_014435,llama31_p9_t3_tau60,baseline,0.3,0.3,0.6,100,0.72,72,,,0.0,0.509,0.0,2.361,0.0,0.0,0.0,0,0,1,1
20260525_014435,llama31_p9_t3_tau60,with_monitoring,0.3,0.3,0.6,100,0.68,68,,,0.509,0.399,0.11,7.518,0.46,0.24,0.22,0,0,1,1
20260525_020140,llama31_p9_t3_tau70,baseline,0.3,0.3,0.7,100,0.72,72,,,0.0,0.509,0.0,2.362,0.0,0.0,0.0,0,0,1,1
20260525_020140,llama31_p9_t3_tau70,with_monitoring,0.3,0.3,0.7,100,0.7,70,,,0.509,0.469,0.04,4.387,0.1,0.08,0.02,0,0,1,1
20260525_021331,deepseek_p9_t1_tau60,baseline,0.3,0.3,0.6,100,0.77,77,,,0.0,0.501,0.0,2.282,0.0,0.0,0.0,0,0,1,1
