run_timestamp,run_label,version,temperature,retry_temperature,threshold,dataset_size,pass_at_1_rate,pass_at_1_count,pass_at_2_rate,pass_at_2_count,avg_pre_hallucination,avg_post_hallucination,avg_improvement,avg_latency_s,fixer_trigger_rate,fixer_change_rate,gate_revert_rate,use_fewshot,use_iterative,use_gate,use_fixer_context
20260602_003646,llama31_t1_tau60,baseline,0.3,0.3,0.6,100,0.68,68,,,0.0,0.483,0.0,0.537,0.0,0.0,0.0,0,0,1,1
20260602_003646,llama31_t1_tau60,with_monitoring,0.3,0.3,0.6,100,0.7,70,,,0.467,0.372,0.095,1.566,0.36,0.21,0.15,0,0,1,1
20260602_004039,llama31_t1_tau70,baseline,0.3,0.3,0.7,100,0.68,68,,,0.0,0.483,0.0,0.57,0.0,0.0,0.0,0,0,1,1
20260602_004039,llama31_t1_tau70,with_monitoring,0.3,0.3,0.7,100,0.69,69,,,0.473,0.428,0.045,1.153,0.11,0.1,0.01,0,0,1,1
20260602_004355,llama31_t2_tau60,baseline,0.3,0.3,0.6,100,0.62,62,,,0.0,0.518,0.0,0.581,0.0,0.0,0.0,0,0,1,1
20260602_004355,llama31_t2_tau60,with_monitoring,0.3,0.3,0.6,100,0.62,62,,,0.485,0.381,0.104,1.808,0.46,0.24,0.22,0,0,1,1
20260602_004818,llama31_t2_tau70,baseline,0.3,0.3,0.7,100,0.62,62,,,0.0,0.518,0.0,0.579,0.0,0.0,0.0,0,0,1,1
20260602_004818,llama31_t2_tau70,with_monitoring,0.3,0.3,0.7,100,0.67,67,,,0.497,0.448,0.049,1.231,0.12,0.08,0.04,0,0,1,1
20260602_005142,llama31_t3_tau60,baseline,0.3,0.3,0.6,100,0.65,65,,,0.0,0.476,0.0,0.564,0.0,0.0,0.0,0,0,1,1
20260602_005142,llama31_t3_tau60,with_monitoring,0.3,0.3,0.6,100,0.65,65,,,0.484,0.38,0.104,1.652,0.4,0.25,0.15,0,0,1,1
20260602_005548,llama31_t3_tau70,baseline,0.3,0.3,0.7,100,0.65,65,,,0.0,0.476,0.0,0.564,0.0,0.0,0.0,0,0,1,1
20260602_005548,llama31_t3_tau70,with_monitoring,0.3,0.3,0.7,100,0.66,66,,,0.481,0.436,0.045,1.233,0.13,0.12,0.01,0,0,1,1
20260602_005911,deepseek_t1_tau60,baseline,0.3,0.3,0.6,100,0.73,73,,,0.0,0.485,0.0,0.56,0.0,0.0,0.0,0,0,1,1
20260602_005911,deepseek_t1_tau60,with_monitoring,0.3,0.3,0.6,100,0.72,72,,,0.467,0.423,0.044,1.735,0.36,0.16,0.2,0,0,1,1
20260602_010344,deepseek_t1_tau70,baseline,0.3,0.3,0.7,100,0.73,73,,,0.0,0.485,0.0,0.562,0.0,0.0,0.0,0,0,1,1
20260602_010344,deepseek_t1_tau70,with_monitoring,0.3,0.3,0.7,100,0.74,74,,,0.465,0.462,0.003,1.115,0.07,0.04,0.02,0,0,1,1
20260602_010716,deepseek_t2_tau60,baseline,0.3,0.3,0.6,100,0.78,78,,,0.0,0.496,0.0,0.571,0.0,0.0,0.0,0,0,1,1
20260602_010716,deepseek_t2_tau60,with_monitoring,0.3,0.3,0.6,100,0.75,75,,,0.473,0.412,0.061,1.794,0.39,0.21,0.18,0,0,1,1
20260602_011135,deepseek_t2_tau70,baseline,0.3,0.3,0.7,100,0.78,78,,,0.0,0.496,0.0,0.572,0.0,0.0,0.0,0,0,1,1
20260602_011135,deepseek_t2_tau70,with_monitoring,0.3,0.3,0.7,100,0.76,76,,,0.484,0.468,0.016,1.259,0.11,0.08,0.03,0,0,1,1
20260602_011502,deepseek_t3_tau60,baseline,0.3,0.3,0.6,100,0.71,71,,,0.0,0.498,0.0,0.566,0.0,0.0,0.0,0,0,1,1
20260602_011502,deepseek_t3_tau60,with_monitoring,0.3,0.3,0.6,100,0.7,70,,,0.495,0.436,0.059,1.767,0.42,0.17,0.24,0,0,1,1
20260602_011919,deepseek_t3_tau70,baseline,0.3,0.3,0.7,100,0.71,71,,,0.0,0.498,0.0,0.565,0.0,0.0,0.0,0,0,1,1
20260602_011919,deepseek_t3_tau70,with_monitoring,0.3,0.3,0.7,100,0.73,73,,,0.501,0.48,0.021,1.233,0.1,0.07,0.02,0,0,1,1
20260602_012242,starcoder_t1_tau60,baseline,0.3,0.3,0.6,100,0.0,0,,,0.0,0.0,0.0,0.315,0.0,0.0,0.0,0,0,1,1
20260602_012242,starcoder_t1_tau60,with_monitoring,0.3,0.3,0.6,100,0.0,0,,,0.0,0.0,0.0,0.559,0.0,0.0,0.0,0,0,1,1
20260602_012433,starcoder_t1_tau70,baseline,0.3,0.3,0.7,100,0.0,0,,,0.0,0.0,0.0,0.315,0.0,0.0,0.0,0,0,1,1
20260602_012433,starcoder_t1_tau70,with_monitoring,0.3,0.3,0.7,100,0.0,0,,,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0,0,1,1
20260602_012624,starcoder_t2_tau60,baseline,0.3,0.3,0.6,100,0.0,0,,,0.0,0.0,0.0,0.313,0.0,0.0,0.0,0,0,1,1
20260602_012624,starcoder_t2_tau60,with_monitoring,0.3,0.3,0.6,100,0.0,0,,,0.0,0.0,0.0,0.558,0.0,0.0,0.0,0,0,1,1
20260602_012815,starcoder_t2_tau70,baseline,0.3,0.3,0.7,100,0.0,0,,,0.0,0.0,0.0,0.313,0.0,0.0,0.0,0,0,1,1
20260602_012815,starcoder_t2_tau70,with_monitoring,0.3,0.3,0.7,100,0.0,0,,,0.0,0.0,0.0,0.559,0.0,0.0,0.0,0,0,1,1
20260602_013006,starcoder_t3_tau60,baseline,0.3,0.3,0.6,100,0.0,0,,,0.0,0.0,0.0,0.316,0.0,0.0,0.0,0,0,1,1
20260602_013006,starcoder_t3_tau60,with_monitoring,0.3,0.3,0.6,100,0.0,0,,,0.0,0.0,0.0,0.559,0.0,0.0,0.0,0,0,1,1
20260602_013157,starcoder_t3_tau70,baseline,0.3,0.3,0.7,100,0.0,0,,,0.0,0.0,0.0,0.313,0.0,0.0,0.0,0,0,1,1
20260602_013157,starcoder_t3_tau70,with_monitoring,0.3,0.3,0.7,100,0.0,0,,,0.0,0.0,0.0,0.557,0.0,0.0,0.0,0,0,1,1
